Station Name (LEA),State,Records
PA PORT AUTHORITY POLICE DEPT,PA,9
PA SOUTHERN REGIONAL POLICE DEPT,PA,6
PA STATE POLICE DEPT,PA,60
PARKER POLICE DEPT,PA,1
PENBROOK POLICE DEPT,PA,1
PENNDEL BORO POLICE DEPT,PA,1
PHILADELPHIA POLICE DEPT,PA,257
PINE CREEK TOWNSHIP POLICE DEPT,PA,1
PITTSBURGH BUREAU OF POLICE,PA,1
PLAINS TOWNSHIP POLICE DEPT,PA,4
PLYMOUTH TOWNSHIP POLICE DEPT,PA,1
POTTSTOWN POLICE DEPARTMENT,PA,5
READING POLICE DEPARTMENT,PA,8
ROARING BROOK TOWNSHIP POLICE DEPT,PA,1
SALISBURY TOWNSHIP POLICE DEPT,PA,7
SCOTT TWP POLICE BLOOMSBURG,PA,1
SHAMOKIN POLICE DEPT,PA,1
SHENANGO TOWNSHIP POLICE DEPT,PA,2
SILVER SPRING TWP POLICE DEPT,PA,12
SOMERSET BORO POLICE DEPT,PA,1
SOUTH ANNVILLE TWP POLICE DEPT,PA,2
SPRING TWP POLICE DEPT READING,PA,9
SPRINGFIELD TOWNSHIP POLICE DEPT,PA,1
STEELTON BOROUGH POLICE DEPT,PA,7
STROUD AREA REGIONAL POLICE DEPT,PA,1
SUGAR NOTCH POLICE DEPT,PA,1
SULLIVAN COUNTY SHERIFF OFFICE,PA,8
SUSQUEHANNA TWP POLICE HARRISBURG,PA,3
TAMAQUA POLICE DEPT,PA,2
TAYLOR BOROUGH POLICE,PA,7
TREDYFFRIN TOWNSHIP POLICE DEPT,PA,1
UPPER DARBY TOWNSHIP POLICE,PA,7
UPPER DUBLIN TOWNSHIP POLICE DEPT,PA,8
UPPER GWYNEDD TOWNSHIP  POLICE,PA,1
UPPER POTTSGROVE TWP POLICE DEPT,PA,2
US DHS ICE HOMELAND SEC INV,PA,25
US DHS ICE NATIONAL ARMORY OPS,PA,247
US DOJ DEA PHILADELPHIA,PA,209
US FBI HARRISBURG,PA,114
US MARSHAL SVC WESTERN DIST OF PA,PA,14
"USPS, OFFICE OF INSPECTOR GENERAL",PA,19
VENANGO COUNTY SHERIFF DEPT,PA,12
VERNON TOWNSHIP POLICE DEPT,PA,1
WARMINSTER TWP POLICE DEPT,PA,39
WAYMART BOROUGH POLICE DEPT,PA,5
WAYNE COUNTY SHERIFF DEPT,PA,2
WEATHERLY POLICE DEPARTMENT,PA,1
WEST BRANDYWINE POLICE DEPT,PA,2
WEST HAZLETON POLICE DEPT,PA,1
WEST HEMPFIELD TWP POLICE DEPT,PA,5
WEST SHORE REGIONAL POLICE,PA,49
WEST YORK BOROUGH POLICE DEPT,PA,4
WESTMORELAND CTY PARK POLICE DEPT,PA,2
WESTMORELAND CTY SHERIFF DEPT,PA,2
WOMELSDORF POLICE DEPT,PA,1
WOODWARD TOWNSHIP POLICE DEPT,PA,4
YORK POLICE DEPT,PA,5
AGUADA POLICE DEPARTMENT,PR,10
ARECIBO POLICE DEPT,PR,31
ARROYO POLICE DEPT,PR,6
BARCELONETA POLICE DEPT,PR,16
BAYAMON MUNICIPAL POLICE,PR,10
CABO ROJO POLICE DEPT,PR,1
CAGUAS POLICE DEPT,PR,6
CAMUY POLICE DEPT,PR,6
CAROLINA MUNICIPAL POLICE DEPT,PR,16
CATANO POLICE DEPT,PR,11
CEIBA POLICE DEPT,PR,2
COMERIO POLICE DEPT,PR,3
COROZAL POLICE DEPT,PR,25
DORADO POLICE DEPT,PR,2
DP MUNICIPAL DE MAYAGUEZ,PR,2
FAJARDO POLICE DEPT,PR,4
GOBIERNO DE QUEBRADILLAS/POLICIA,PR,7
GUANICA POLICE DEPT,PR,3
GUAYAMA CITY POLICE,PR,6
GUAYANILLA POLICE DEPT,PR,7
GUAYNABO CITY POLICE,PR,4
GURABO POLICE DEPT,PR,4
HUMACAO POLICE DEPT,PR,25
ISABELA POLICE DEPT,PR,6
JUANA DIAZ-MUNICIPAL POLICE,PR,2
JUNCOS POLICE DEPT,PR,20
LAJAS POLICE DEPT,PR,15
LARES POLICE DEPT,PR,43
LAS MARIAS POLICE DEPT,PR,4
LAS PIEDRAS MUNICIPAL POLICE,PR,5
MAUNABO POLICE DEPT,PR,10
MOCA POLICE DEPT,PR,47
MUNICIPALITY OF AGUADILLA,PR,9
MUNICIPALITY OF CIALES,PR,2
MUNICIPALITY OF HORMIGUEROS,PR,4
MUNICIPALITY OF MANATI,PR,5
MUNICIPIO AUTONOMO DE VILLALBA,PR,3
MUNICIPIO DE MARICAO,PR,1
MUNICIPIO DE RIO GRANDE,PR,1
MUNICIPIO DE TRUJILLO ALTO,PR,10
MUNICPIO DE YABUCOA POLICIA MUNICIP,PR,28
OROCOVIS POLICE DEPT,PR,2
PATILLAS POLICE DEPT,PR,3
POLICIA MUNICIPAL DE CANOVANAS,PR,7
PONCE MUNICIPAL POLICE,PR,32
PR DEPT OF NATURAL  ENV RESOURCES,PR,11
PUERTO RICO POLICE DEPT,PR,28
SALINAS POLICE DEPT,PR,19
SAN GERMAN POLICE DEPT,PR,4
SAN JUAN POLICE DEPT,PR,6
SAN SEBASTIAN POLICE DEPT,PR,41
SANTA ISABEL POLICE DEPT,PR,8
TOA ALTA POLICE DEPT,PR,9
US DHS CBP AGUADILLA,PR,7
US FBI SAN JUAN FIELD OFFICE,PR,50
UTUADO POLICE DEPT,PR,8
VEGA BAJA POLICE DEPT,PR,7
VIEQUES POLICE DEPT,PR,10
BARRINGTON POLICE DEPT,RI,23
BURRILLVILLE POLICE DEPT,RI,7
CHARLESTOWN POLICE DEPT,RI,8
COVENTRY POLICE DEPT,RI,357
CRANSTON POLICE DEPT,RI,32
EAST GREENWICH POLICE DEPT,RI,24
EAST PROVIDENCE POLICE DEPT,RI,20
FOSTER POLICE DEPT,RI,29
GLOCESTER POLICE DEPT,RI,6
HOPKINTON POLICE DEPT,RI,8
JAMESTOWN POLICE DEPT,RI,6
JOHNSTON POLICE DEPT,RI,254
LINCOLN POLICE DEPT,RI,6
LITTLE COMPTON POLICE DEPT,RI,6
MIDDLETOWN POLICE DEPT,RI,10
NORTH KINGSTOWN POLICE DEPT,RI,33
PAWTUCKET POLICE DEPT,RI,16
PROVIDENCE POLICE DEPT,RI,23
RI DEPARTMENT OF CORRECTIONS,RI,6
RI STATE POLICE,RI,6
RICHMOND POLICE DEPT,RI,9
SCITUATE POLICE DEPT,RI,12
TF GREEN INTL AIRPORT POLICE,RI,6
TIVERTON POLICE DEPT,RI,6
US DOJ ATF PROVIDENCE,RI,1
US MARSHAL SERVICE PROVIDENCE,RI,5
WARWICK POLICE DEPT,RI,26
WEST WARWICK POLICE DEPT,RI,9
WESTERLY POLICE DEPT,RI,2
WOONSOCKET POLICE DEPT,RI,24
AIKEN COUNTY SHERIFF DEPT,SC,205
AIKEN PUBLIC SAFETY DEPT,SC,109
ALLENDALE COUNTY SHERIFF DEPT,SC,3
ALLENDALE POLICE DEPT,SC,2
ANDERSON COUNTY SHERIFFS OFFICE,SC,59
ANDERSON POLICE DEPT,SC,1
ATLANTIC BEACH POLICE DEPARTMENT,SC,27
AYNOR POLICE DEPT,SC,49
BARNWELL COUNTY SHERIFF DEPT,SC,5
BATESBURG LEESVILLE POLICE DEPT,SC,10
BEAUFORT CITY POLICE DEPT,SC,42
BEAUFORT COUNTY SHERIFF DEPT,SC,3
BENNETTSVILLE POLICE DEPT,SC,86
BERKELEY COUNTY  SHERIFF OFFICE,SC,25
BISHOPVILLE POLICE DEPT,SC,3
BLACKSBURG POLICE DEPT,SC,3
BLUFFTON POLICE DEPT,SC,1
CALHOUN COUNTY SHERIFF DEPT,SC,7
CAMPOBELLO POLICE DEPT,SC,11
CAYCE PUBLIC SAFETY,SC,55
CHARLESTON COUNTY SHERIFF DEPT,SC,93
CHARLESTON POLICE DEPT,SC,56
CHESTER COUNTY SHERIFF DEPT,SC,1
CHESTERFIELD COUNTY SHERIFF DEPT,SC,52
CHESTERFIELD POLICE DEPT,SC,58
CLARENDON COUNTY SHERIFF DEPT,SC,42
CLOVER POLICE DEPT,SC,2
COLLETON COUNTY SHERIFF DEPT,SC,1
COLUMBIA POLICE DEPT,SC,78
DARLINGTON COUNTY SHERIFF DEPT,SC,214
DHS ICE HSI,SC,32
DILLON COUNTY SHERIFF DEPT,SC,75
DILLON POLICE DEPT,SC,229
DORCHESTER COUNT SHERIFF DEPT,SC,25
EASLEY POLICE DEPARTMENT,SC,15
EDGEFIELD COUNTY SHERIFF DEPT,SC,31
ESTILL POLICE DEPARTMENT,SC,1
FLORENCE COUNTY SHERIFF DEPT,SC,165
FLORENCE POLICE DEPT,SC,45
FLORENCE REGIONAL AIRPORT POLICE,SC,35
FOLLY BEACH PUBLIC SAFETY,SC,11
FORT LAWN POLICE DEPT,SC,1
FOUNTAIN INN POLICE DEPT,SC,34
GEORGETOWN COUNTY SHERIFF  OFFICE,SC,41
GEORGETOWN POLICE DEPT,SC,9
GREENVILLE COUNTY SHERIFF DEPT,SC,7
GREENWOOD COUNTY SHERIFF OFFICE,SC,30
HAMPTON COUNTY SHERIFF DEPT,SC,14
HANAHAN POLICE DEPARTMENT,SC,7
HARDEEVILLE POLICE DEPT,SC,38
HARTSVILLE POLICE DEPT,SC,39
HORRY COUNTY POLICE DEPT,SC,108
IVA POLICE DEPARTMENT,SC,91
KERSHAW COUNTY SHERIFFS OFFICE,SC,26
LAKE CITY POLICE DEPT,SC,39
LANCASTER COUNTY SHERIFF DEPT,SC,74
LATTA POLICE DEPT,SC,127
LAURENS COUNTY SHERIFF OFFICE,SC,37
LAURENS POLICE DEPT,SC,17
LEE COUNTY SHERIFFS OFFICE,SC,18
LEXINGTON COUNTY SHERIFF DEPT,SC,123
LEXINGTON POLICE DEPT,SC,6
LYMAN POLICE DEPARTMENT,SC,4
MANNING POLICE DEPT,SC,13
MARION COUNTY SHERIFF OFFICE,SC,104
MARLBORO COUNTY SHERIFF,SC,5
MAULDIN POLICE DEPT,SC,10
MCCORMICK POLICE DEPT,SC,2
MOUNT PLEASANT POLICE DEPT,SC,106
MULLINS POLICE DEPT,SC,26
MYRTLE BEACH POLICE DEPT,SC,21
NEWBERRY CITY POLICE DEPT,SC,4
NEWBERRY COUNTY SHERIFF DEPT,SC,86
NICHOLS POLICE DEPT,SC,7
NORTH AUGUSTA POLICE,SC,92
NORTH MYRTLE BEACH POLICE,SC,6
NORWAY POLICE DEPT,SC,1
OCONEE COUNTY SHERIFF DEPT,SC,6
ORANGEBURG COUNTY SHERIFF DEPT,SC,16
ORANGEBURG DEPT OF PUBLIC SAFETY,SC,1
PELION POLICE DEPT,SC,1
PICKENS COUNTY SHERIFF DEPT,SC,25
PORT ROYAL POLICE DEPT,SC,4
PROSPERITY POLICE DEPT,SC,14
RICHLAND COUNTY SHERIFF DEPT,SC,122
ROCK HILL POLICE DEPT,SC,23
SALUDA COUNTY SHERIFF OFFICE,SC,7
SALUDA POLICE DEPT,SC,10
SC DNR COLUMBIA,SC,114
SC LAW ENFORCEMENT DIVISION,SC,253
SC PUBLIC SERVICE AUTHORITY,SC,4
SC STATE UNIV POLICE DEPT HI_ED,SC,14
SENECA POLICE DEPT,SC,60
SPARTANBURG CTY SHERIFF DEPT,SC,5
ST MATTHEWS POLICE DEPT,SC,5
SUMTER COUNTY SHERIFF DEPT,SC,34
SUMTER POLICE DEPT,SC,198
TRAVELERS REST POLICE DEPT,SC,7
UNION COUNTY SHERIFF DEPT,SC,6
UNION DEPT OF PUBLIC SAFETY,SC,7
UNIV OF SC SPARTANBURG POLICE HI_ED,SC,15
US DOJ DEA FLORENCE,SC,1
WELLFORD POLICE DEPT,SC,4
WEST COLUMBIA POLICE DEPT,SC,16
WESTMINSTER POLICE DEPT,SC,9
WHITMIRE POLICE DEPT,SC,2
WILLIAMSTON POLICE DEPT,SC,1
WINNSBORO DEPT OF PUBLIC SAFETY,SC,15
YORK COUNTY SHERIFF DEPT,SC,1
YORK POLICE DEPT,SC,5
ALCESTER POLICE DEPT,SD,2
BEADLE COUNTY SHERIFFS DEPT,SD,6
BENNETT COUNTY SHERIFF DEPT,SD,5
BERESFORD POLICE DEPT,SD,2
BON HOMME COUNTY SHERIFF,SD,1
BROOKINGS COUNTY SHERIFF OFFICE,SD,10
BROOKINGS POLICE DEPT,SD,1
BROWN COUNTY SHERIFF OFFICE,SD,3
BRULE COUNTY SHERIFF,SD,4
BURKE CITY POLICE DEPT,SD,1
CHAMBERLAIN POLICE DEPT,SD,3
CLARK COUNTY SHERIFF OFFICE,SD,7
CLARK POLICE DEPT,SD,3
CODINGTON COUNTY SHERIFF OFFICE,SD,2
CORSON COUNTY SHERIFF OFFICE,SD,7
CUSTER COUNTY SHERIFF DEPT,SD,37
DEADWOOD POLICE DEPT,SD,6
DEUEL COUNTY SHERIFF DEPT,SD,5
DEWEY COUNTY SHERIFF OFFICE,SD,8
EDMUNDS COUNTY SHERIFF DEPT,SD,4
FAULK COUNTY SHERIFF OFFICE,SD,2
GREGORY COUNTY SHERIFF DEPT,SD,2
GROTON POLICE DEPT,SD,2
HAMLIN COUNTY SHERIFF DEPT,SD,3
HAND COUNTY SHERIFF OFFICE,SD,3
HUGHES COUNTY SHERIFF DEPT,SD,5
HURON POLICE DEPT,SD,43
JACKSON COUNTY SHERIFF DEPT,SD,4
KINGSBURY COUNTY SHERIFF DEPT,SD,5
LAWRENCE COUNTY SHERIFF DEPT,SD,10
LINCOLN COUNTY DTF,SD,1
LINCOLN COUNTY SHERIFF DEPT,SD,18
LYMAN COUNTY SHERIFF OFFICE,SD,7
MARSHALL COUNTY SHERIFF DEPT,SD,7
MELLETTE COUNTY SHERIFF OFFICE,SD,1
MENNO POLICE DEPT,SD,1
MIKE DURFEE STATE PRISON,SD,12
MINNEHAHA COUNTY SHERIFF DEPT,SD,10
MITCHELL DEPT OF PUBLIC SAFETY,SD,1
NPS WIND CAVE NATIONAL PARK,SD,40
PENNINGTON COUNTY SHERIFF,SD,10
PERKINS COUNTY SHERIFF DEPT,SD,7
PIERRE POLICE DEPT,SD,3
POTTER COUNTY SHERIFF,SD,2
SANBORN COUNTY SHERIFF DEPT,SD,3
SD DEPT OF CORRECTIONS WOMENS PR,SD,2
SD DEPT OF GAME FISH AND PARKS,SD,105
SD HIGHWAY PATROL,SD,242
SD OFFICE OF THE ATTORNEY GENERAL,SD,5
SD STATE PENITENTIARY,SD,4
SPEARFISH POLICE DEPT,SD,6
SPINK COUNTY SHERIFF DEPT,SD,10
SPRINGFIELD POLICE DEPT,SD,1
STANLEY COUNTY SHERIFF DEPT,SD,3
STURGIS POLICE DEPT,SD,1
TRIPP POLICE DEPT,SD,1
TURNER COUNTY SHERIFF OFFICE,SD,6
UNION COUNTY SHERIFF DEPT,SD,1
"US DEPT AGRIC, FS, LAW ENF  INV",SD,7
VERMILLION POLICE DEPARTMENT,SD,1
WALWORTH COUNTY SHERIFF DEPT,SD,1
WINNER POLICE DEPT,SD,11
YANKTON COUNTY SHERIFF DEPT,SD,7
YANKTON POLICE DEPT,SD,17
ZIEBACH COUNTY SHERIFF OFFICE,SD,3
ADAMSVILLE POLICE DEPARTMENT,TN,73
ALGOOD POLICE DEPT,TN,23
ANDERSON COUNTY SHERIFF DEPT,TN,93
ASHLAND CITY POLICE DEPT,TN,15
ATHENS POLICE DEPT,TN,20
BARTLETT POLICE DEPT,TN,113
BEAN STATION POLICE DEPT,TN,1
BEDFORD COUNTY SHERIFF DEPT,TN,11
BENTON COUNTY SHERIFF DEPT,TN,61
BLAINE POLICE DEPT,TN,12
BLEDSOE COUNTY SHERIFF DEPT,TN,2
BLOUNT COUNTY SHERIFF DEPT,TN,14
BOLIVAR POLICE DEPT,TN,139
BRADFORD POLICE DEPT,TN,2
BRADLEY COUNTY SHERIFF DEPT,TN,52
BRISTOL POLICE DEPT,TN,1
BRUCETON POLICE DEPT,TN,2
BURNS POLICE DEPT,TN,1
CAMPBELL COUNTY SHERIFF DEPT,TN,2
CANNON COUNTY SHERIFF DEPT,TN,16
CARROLL COUNTY SHERIFF DEPT,TN,81
CARTER COUNTY SHERIFF DEPT,TN,41
CARTHAGE POLICE DEPT,TN,9
CENTERVILLE POLICE DEPT,TN,45
CHAPEL HILL POLICE DEPT,TN,6
CHATTANOOGA POLICE DEPT,TN,7
CHEATHAM COUNTY SHERIFF DEPT,TN,8
CHESTER COUNTY SHERIFFS DEPT,TN,2
CHURCH HILL POLICE DEPT,TN,2
CLAIBORNE COUNTY SHERIFF DEPT,TN,18
CLARKSVILLE POLICE DEPT,TN,10
CLAY COUNTY SHERIFF DEPT,TN,28
CLIFTON POLICE DEPT,TN,7
CLINTON POLICE DEPT,TN,32
COFFEE CO SHERIFF DEPT,TN,68
COLUMBIA POLICE DEPT,TN,103
COOKEVILLE POLICE DEPT,TN,14
COOPERTOWN POLICE DEPT,TN,4
CORNERSVILLE POLICE DEPT,TN,18
COVINGTON POLICE DEPT,TN,44
CROCKETT COUNTY SHERIFF DEPT,TN,2
CUMBERLAND CITY POLICE DEPT,TN,16
DANDRIDGE POLICE DEPT,TN,20
DAYTON POLICE DEPARTMENT,TN,121
DECATUR COUNTY SHERIFF DEPT,TN,195
DECATURVILLE POLICE DEPT,TN,26
DECHERD POLICE DEPT,TN,13
DICKSON COUNTY SHERIFF DEPT,TN,67
DICKSON POLICE DEPT,TN,56
DOVER POLICE DEPT,TN,8
DRESDEN POLICE DEPT,TN,11
DUNLAP POLICE DEPT,TN,3
DYER COUNTY SHERIFF DEPT,TN,13
DYER POLICE DEPT,TN,18
DYERSBURG POLICE DEPT,TN,4
EAGLEVILLE POLICE DEPT,TN,7
EAST RIDGE POLICE DEPT,TN,13
ELIZABETHTON POLICE DEPT,TN,6
ELKTON POLICE DEPT,TN,4
ENGLEWOOD POLICE DEPT,TN,2
ERIN POLICE DEPARTMENT,TN,22
ETHRIDGE POLICE DEPT,TN,15
ETOWAH PUBLIC SAFETY DEPT,TN,6
FBI MEMPHIS SWAT,TN,2
FENTRESS COUNTY SHERIFF DEPT,TN,43
FRANKLIN COUNTY SHERIFF DEPT,TN,89
FRANKLIN POLICE DEPT,TN,13
GAINSBORO POLICE DEPT,TN,9
GALLATIN POLICE DEPT,TN,20
GATLINBURG POLICE DEPT,TN,11
GLEASON POLICE DEPT,TN,1
GOODLETTSVILLE POLICE DEPT,TN,6
GRAINGER COUNTY SHERIFF DEPT,TN,10
GRAND JUNCTION POLICE DEPT,TN,1
GREENBRIER POLICE DEPT,TN,132
GREENE COUNTY SHERIFF DEPT,TN,129
GREENEVILLE POLICE DEPT,TN,18
HAMBLEN COUNTY SHERIFF DEPT,TN,67
HAMILTON COUNTY SHERIFF DEPT,TN,1
HANCOCK COUNTY SHERIFF DEPT,TN,15
HARDEMAN COUNTY SHERIFF DEPT,TN,5
HARDIN COUNTY SHERIFF DEPT,TN,26
HARRIMAN POLICE DEPT,TN,67
HAWKINS COUNTY SHERIFF DEPT,TN,82
HAYWOOD COUNTY SHERIFF DEPT,TN,20
HENDERSON COUNTY SHERIFF DEPT,TN,14
HENDERSONVILLE POLICE DEPT,TN,139
HENRY COUNTY SHERIFF DEPT,TN,36
HENRY POLICE DEPT,TN,3
HICKMAN COUNTY SHERIFF DEPT,TN,7
HOMELAND SEC INVESTIGATIONS,TN,96
HORNBEAK POLICE DEPT,TN,16
HOUSTON COUNTY SHERIFF OFFICE,TN,36
HUMPHREYS COUNTY SHERIFF DEPT,TN,95
HUNTINGDON POLICE DEPARTMENT,TN,36
HUNTLAND POLICE DEPT,TN,9
JACKSON COUNTY SHERIFF DEPT,TN,3
JACKSON POLICE DEPT,TN,93
JAMESTOWN POLICE DEPT,TN,68
JASPER POLICE DEPARTMENT,TN,6
JEFFERSON COUNTY SHERIFF DEPT,TN,25
JOHNSON CITY POLICE DEPT,TN,61
JOHNSON COUNTY SHERIFF DEPT,TN,2
JONESBOROUGH POLICE DEPT,TN,85
KENTON POLICE DEPT,TN,1
KINGSTON POLICE DEPT,TN,55
KNOX COUNTY SHERIFF DEPT.,TN,560
KNOXVILLE POLICE DEPT,TN,54
LAFAYETTE POLICE DEPT,TN,6
LAFOLLETTE POLICE DEPT,TN,14
LAKE COUNTY TACTICAL UNIT,TN,1
LAUDERDALE COUNTY SHERIFF DEPT,TN,4
LAVERGNE POLICE DEPT,TN,92
LAWRENCE COUNTY SHERIFF DEPT,TN,72
LEBANON PUBLIC SAFETY,TN,71
LENOIR CITY POLICE DEPT,TN,21
LEWIS COUNTY SHERIFF DEPT,TN,33
LEWISBURG POLICE DEPT,TN,99
LEXINGTON POLICE DEPT,TN,1
LINCOLN COUNTY SHERIFF DEPT,TN,29
LIVINGSTON POLICE DEPT,TN,176
LOUDON COUNTY SHERIFF DEPT,TN,30
LOUDON POLICE DEPT,TN,4
LYNNVILLE POLICE DEPT,TN,1
MADISON COUNTY SHERIFF DEPT,TN,91
MADISONVILLE POLICE DEPT,TN,11
MANCHESTER POLICE DEPT,TN,31
MARION COUNTY SHERIFF DEPT,TN,28
MARSHALL COUNTY SHERIFF DEPT,TN,19
MARTIN POLICE DEPT,TN,6
MARYVILLE POLICE DEPT,TN,11
MASON POLICE DEPT,TN,7
MAURY COUNTY SHERIFF DEPT,TN,15
MAYNARDVILLE POLICE DEPARTMENT,TN,4
MCEWEN POLICE DEPT,TN,3
MCKENZIE POLICE DEPT,TN,32
MCMINN COUNTY SHERIFF DEPT,TN,132
MCMINNVILLE POLICE DEPT,TN,10
MCNAIRY COUNTY SHERIFF DEPT,TN,2
MEDINA POLICE DEPARTMENT,TN,23
MEIGS COUNTY SHERIFF DEPT,TN,61
MEMPHIS AIRPORT POLICE,TN,12
MEMPHIS POLICE DEPT,TN,7
METROPOLITAN NASHVILLE POLICE DEPT,TN,58
MIDDLETON POLICE DEPT,TN,20
MILAN POLICE DEPT,TN,9
MILLERSVILLE POLICE DEPT,TN,2
MILLINGTON POLICE DEPT,TN,28
MONROE COUNTY SHERIFF DEPT,TN,98
MONTEREY POLICE DEPT,TN,75
MONTGOMERY COUNTY SHERIFF DEPT,TN,80
MOORE COUNTY SHERIFF DEPT,TN,36
MORGAN COUNTY SHERIFF DEPT,TN,24
MORRISTOWN POLICE DEPT,TN,34
MOSCOW POLICE DEPT,TN,3
MOUNT CARMEL POLICE DEPT,TN,4
MOUNT JULIET POLICE DEPT,TN,6
MOUNT PLEASANT POLICE DEPT,TN,33
MURFREESBORO POLICE DEPT,TN,68
NASHVILLE AIRPORT POLICE,TN,25
NEW JOHNSONVILLE POLICE DEPT,TN,10
NEW MARKET POLICE DEPT,TN,29
NEWPORT POLICE DEPT,TN,3
NORRIS PUBLIC SAFETY,TN,18
OAK RIDGE POLICE DEPT,TN,23
OAKLAND POLICE DEPT,TN,26
OBION COUNTY SHERIFF DEPT,TN,4
OBION POLICE DEPARTMENT,TN,6
OLIVER SPRINGS POLICE DEPT,TN,13
OVERTON COUNTY SHERIFF DEPT,TN,51
PARIS POLICE DEPT,TN,5
PARSONS POLICE DEPT,TN,73
PERRY COUNTY SHERIFF OFFICE,TN,60
PICKETT COUNTY SHERIFF DEPT,TN,50
PIGEON FORGE POLICE DEPT,TN,12
PIKEVILLE POLICE DEPT,TN,2
PIPERTON POLICE DEPT,TN,11
PLEASANT VIEW POLICE DEPT,TN,6
POLK COUNTY SHERIFF DEPT,TN,25
PORTLAND POLICE DEPT,TN,12
PURYEAR POLICE DEPT,TN,4
PUTNAM COUNTY SHERIFF DEPT,TN,108
RHEA COUNTY SHERIFF DEPT,TN,3
RIDGETOP POLICE DEPT,TN,21
ROANE COUNTY SHERIFF DEPT,TN,99
ROANE STATE POLICE DEPT,TN,6
ROBERTSON COUNTY SHERIFF DEPT,TN,11
ROCKWOOD POLICE DEPT,TN,3
ROGERSVILLE POLICE DEPT,TN,3
ROSSVILLE POLICE DEPT,TN,11
RUTHERFORD COUNTY SHERIFF OFFICE,TN,19
RUTHERFORD POLICE DEPT,TN,10
RUTLEDGE POLICE DEPT,TN,17
SCOTT COUNTY SHERIFF DEPT,TN,18
SCOTTS HILL POLICE DEPT,TN,7
SELMER POLICE DEPT,TN,770
SEQUATCHIE COUNTY SHERIFF DEPT,TN,80
SEVIER COUNTY SHERIFF DEPT,TN,4
SHELBY COUNTY SHERIFF DEPT,TN,11
SMITH COUNTY SHERIFF DEPT,TN,44
SMITHVILLE POLICE DEPT,TN,14
SMYRNA POLICE DEPT,TN,10
SODDY DAISY POLICE DEPT,TN,6
SOUTH FULTON POLICE DEPARTMENT,TN,2
SOUTH PITTSBURG POLICE DEPT,TN,11
SPRING CITY POLICE DEPT,TN,1
SPRING HILL POLICE DEPARTMENT,TN,26
STEWART COUNTY SHERIFF DEPT,TN,17
SULLIVAN CO SHERIFF DEPT,TN,5
SUMNER COUNTY SHERIFF DEPT,TN,14
SUNBRIGHT POLICE DEPARTMENT,TN,2
SURGOINSVILLE POLICE DEPT,TN,2
TAZEWELL POLICE DEPT,TN,4
TELLICO PLAINS POLICE DEPT,TN,40
TIPTON COUNTY SHERIFF DEPT,TN,69
TN 13TH JUDICIAL DISTRICT DTF,TN,1
TN 17TH JUDICIAL DISTRICT DTF,TN,1
TN 18TH JUDICAL DTF,TN,6
TN 1ST JUDICIAL DISTRICT DTF,TN,8
TN 21ST JUDICIAL DISTRICT DTF,TN,9
TN 22ND JUDICIAL DISTRICT DTF,TN,1
TN 23RD JUDICIAL DISTRICT DTF,TN,50
TN 24TH JUDICIAL DISTRICT DTF,TN,16
TN 9TH JUDICIAL DISTRICT DA,TN,1
TN DEPT OF CORRECTIONS,TN,7
TN DEPT OF PUBLIC SAFETY,TN,75
TN LAW ENFORCEMENT TRNG ACADEMY,TN,27
TN STATE PARK MONTGOMERY BELL,TN,1
TN WILDLIFE RESOURCES AGENCY,TN,268
TOONE POLICE DEPT,TN,47
TRACY CITY POLICE DEPT,TN,2
TRENTON POLICE DEPT,TN,44
TRI CITIES AIRPORT AUTH,TN,5
TROUSDALE COUNTY SHERIFF DEPT,TN,9
TROY POLICE DEPT,TN,69
TUSCULUM POLICE DEPT,TN,62
UNICOI COUNTY SHERIFF DEPT,TN,225
UNION COUNTY SHERIFF DEPT,TN,40
US DOI NPS  TENNESSEE,TN,44
US MARSHAL SERVICE TN MIDDLE DIST,TN,5
US POSTAL INSPECTION SERVICE,TN,49
VONORE POLICE DEPT,TN,2
WARREN COUNTY SHERIFF DEPT,TN,21
WASHINGTON COUNTY SHERIFFS OFFICE,TN,191
WAVERLY POLICE DEPT,TN,19
WAYNE COUNTY SHERIFF DEPT,TN,6
WAYNESBORO POLICE DEPT,TN,14
WESTMORELAND POLICE DEPT,TN,7
WHITE BLUFF POLICE DEPT,TN,26
WHITE COUNTY SHERIFF DEPT,TN,42
WHITEHOUSE POLICE DEPT,TN,2
WHITEVILLE POLICE DEPT,TN,3
WHITWELL POLICE DEPT,TN,22
WILLIAMSON COUNTY SHERIFF DEPT,TN,151
WILSON COUNTY SHERIFF DEPT,TN,23
ABILENE POLICE DEPT,TX,46
ALAMO POLICE DEPARTMENT,TX,2
ALBA POLICE DEPT,TX,1
ALBANY POLICE DEPT,TX,12
ALLEN POLICE DEPT,TX,60
ALTON POLICE DEPT,TX,10
ALVIN COMM COLLEGE POLICE HI_ED,TX,1
ALVIN POLICE DEPT,TX,129
ANDERSON COUNTY  SHERIFF OFFICE,TX,27
ANDREWS COUNTY SHERIFF DEPT,TX,12
ANGELO STATE UNIV POLICE DEPT HI_ED,TX,2
ANSON POLICE DEPT,TX,1
ANTHONY POLICE DEPT,TX,4
ARCHER COUNTY SHERIFF DEPT,TX,2
ARMSTRONG COUNTY SHERIFF DEPT,TX,2
ATASCOSA COUNTY SHERIFF DEPT,TX,13
