Item Name,Quantity
"BOOTS,CLIMBERS'",87
"BOOTS,COLD WEATHER",462
"BOOTS,COMBAT",884
"BOOTS,DIVERS'",24
"BOOTS,EXTREME COLD WEATHER",225
"BOOTS,FIREMENS",75
"BOOTS,FLYERS'",22
"BOOTS,HOT WEATHER",696
"BOOTS,HOT WEATHER,JUNGLE/DESERT USMC",45
"BOOTS,ICW,SAFETYTOE",13
"BOOTS,KNEE",37
"BOOTS,MID-LEG",10
"BOOTS,SAFETY,MEN'S",230
"BOOTS,SAFETY,MENS",1
"BOOTS,SKI-MOUNTAIN",197
"BORELIGHT SYSTEM,LA",96
"BORELIGHT SYSTEM,LASER",207
BORESCOPE,55
BORESCOPE KIT,12
BORESCOPE LIGHT,6
"BORESCOPE,M2",1
"BORESCOPE,VIDEO",1
BORESIGHT KIT,9
"BORESIGHT KIT,OPTICAL",2
"BORESIGHTING EQUIPMENT,WEAPON",24
BOTTLE POUCH,8
"BOTTLE,SCREW CAP",36
"BOTTOM,AIRCRAFT SEA",1
